Name,Age,Team,Year,Season,City,Sport,Medal
Adrien Duvillard,21,France,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,NA
Aleksandr Andreyevich Filatov,27,Soviet Union,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,NA
Andreas Pantelidis,21,Greece,1984,Winter,Sarajevo,Alpine Skiing,NA
Anna Erika Hansson,20,Sweden,1994,Winter,Lillehammer,Alpine Skiing,NA
Brynhild Grasmoen ,19,United States,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Chiaki Ishioka,26,Japan,1988,Winter,Calgary,Alpine Skiing,NA
"Chimene Mary ""Chemmy"" Alcott",23,Great Britain,2006,Winter,Torino,Alpine Skiing,NA
Clemente Tellechea,27,Argentina,1960,Winter,Squaw Valley,Alpine Skiing,NA
"Erik Olof Anders ""Olle"" Roln",27,Sweden,1972,Winter,Sapporo,Alpine Skiing,NA
Felice De Nicolo,21,Italy,1964,Winter,Innsbruck,Alpine Skiing,NA
Georgette Miller-Thiollire,27,France,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Gumundur Gumundsson,27,Iceland,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Guy Prillat Merceroz,19,France,1960,Winter,Squaw Valley,Alpine Skiing,NA
Imre Csk,23,Hungary,1936,Winter,Garmisch-Partenkirchen,Alpine Skiing,NA
Irene Epple,22,West Germany,1980,Winter,Lake Placid,Alpine Skiing,NA
Jana Gantnerov-oltsov,16,Czechoslovakia,1976,Winter,Innsbruck,Alpine Skiing,NA
Janica Kosteli,24,Croatia,2006,Winter,Torino,Alpine Skiing,NA
Jean-Luc Crtier,25,France,1992,Winter,Albertville,Alpine Skiing,NA
Johnny Albertsen,32,Denmark,2010,Winter,Vancouver,Alpine Skiing,NA
Jorge Pujol Planella,24,Spain,1992,Winter,Albertville,Alpine Skiing,NA
Julien Castellini,18,Monaco,1994,Winter,Lillehammer,Alpine Skiing,NA
Kanet Sucharitakul,21,Thailand,2014,Winter,Sochi,Alpine Skiing,NA
Konstantin Anatolyevich Sats,23,Russia,2006,Winter,Torino,Alpine Skiing,NA
Lasse Kjus ,35,Norway,2006,Winter,Torino,Alpine Skiing,NA
Lotte Smiseth Sejersted,18,Norway,2014,Winter,Sochi,Alpine Skiing,NA
Lucile Wheeler,21,Canada,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Bronze
"Ludwig ""Luggi"" Leitner",23,Germany,1964,Winter,Innsbruck,Alpine Skiing,NA
Luis Alberto Cristobal Hernndez,23,Spain,1994,Winter,Lillehammer,Alpine Skiing,NA
Mara Jos Rienda Contreras,18,Spain,1994,Winter,Lillehammer,Alpine Skiing,NA
Marc Berthod,22,Switzerland,2006,Winter,Torino,Alpine Skiing,NA
"Mathilde ""Hilde"" Gerg",22,Germany,1998,Winter,Nagano,Alpine Skiing,NA
Mattias Hargin,28,Sweden,2014,Winter,Sochi,Alpine Skiing,NA
Megan Jean McJames,26,United States,2014,Winter,Sochi,Alpine Skiing,NA
Nancy Catherine Greene,20,Canada,1964,Winter,Innsbruck,Alpine Skiing,NA
Noelle Barahona Neder,19,Chile,2010,Winter,Vancouver,Alpine Skiing,NA
Pablo Rosenkjer,17,Argentina,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Patrick Brachner,22,Azerbaijan,2014,Winter,Sochi,Alpine Skiing,NA
Pernilla Christina Wiberg,27,Sweden,1998,Winter,Nagano,Alpine Skiing,NA
Rafael Caas,22,Chile,1976,Winter,Innsbruck,Alpine Skiing,NA
Regina Sackl,20,Austria,1980,Winter,Lake Placid,Alpine Skiing,NA
Roger Vidosa Riba,25,Andorra,2010,Winter,Vancouver,Alpine Skiing,NA
Rosemary Sparrow,22,Great Britain,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Sarah Margareta Thomasson,26,Sweden,1952,Winter,Oslo,Alpine Skiing,NA
Silvia Stump,18,Switzerland,1972,Winter,Sapporo,Alpine Skiing,NA
Spencer Pession,22,Great Britain,1994,Winter,Lillehammer,Alpine Skiing,NA
Stefan Asenov Georgiev,24,Bulgaria,2002,Winter,Salt Lake City,Alpine Skiing,NA
Stuart Fitzsimmons,19,Great Britain,1976,Winter,Innsbruck,Alpine Skiing,NA
Tom Stiansen,21,Norway,1992,Winter,Albertville,Alpine Skiing,NA
Toni Brgler,22,Switzerland,1980,Winter,Lake Placid,Alpine Skiing,NA
Vicente Tomas Hernndez,22,Spain,1992,Winter,Albertville,Alpine Skiing,NA
Wendy Holdener,20,Switzerland,2014,Winter,Sochi,Alpine Skiing,NA
Xavier F. Ubeira Rubio,23,Spain,1994,Winter,Lillehammer,Alpine Skiing,NA
Ai Ouchi,21,Japan,1996,Summer,Atlanta,Archery,NA
Anastasiya Vladyslavivna Pavlova,21,Ukraine,2016,Summer,Rio de Janeiro,Archery,NA
Aurora Gonzala Bretn Gmez,42,Mexico,1992,Summer,Barcelona,Archery,NA
Brady Lee Ellison,23,United States,2012,Summer,London,Archery,NA
Denis Canuel,25,Canada,1988,Summer,Seoul,Archery,NA
Frdric Adolphe Petit,43,France,1900,Summer,Paris,Archery,Bronze
"George Philip ""Phil"" Bryant",26,Boston Archers,1904,Summer,St. Louis,Archery,Bronze
Kirstin Jean Lewis,28,South Africa,2004,Summer,Athina,Archery,NA
Loedmila Arzjannikova,34,Unified Team,1992,Summer,Barcelona,Archery,Bronze
Ma Shaorong,17,China,1988,Summer,Seoul,Archery,NA
Michelle Tremelling,31,Australia,2000,Summer,Sydney,Archery,NA
Mohamad Khairul Anuar,24,Malaysia,2016,Summer,Rio de Janeiro,Archery,NA
Oleksandr Oleksiyovych Serdiuk,30,Ukraine,2008,Summer,Beijing,Archery,NA
"Richard Lee ""Rick"" McKinney",38,United States,1992,Summer,Barcelona,Archery,NA
Samo Medved,34,Slovenia,1996,Summer,Atlanta,Archery,NA
Veronique Marrier D'Unienville,41,Mauritius,2008,Summer,Beijing,Archery,NA
Abbas Mohamed,24,Nigeria,1988,Summer,Seoul,Athletics,NA
Abdullah Hussein Al-Dosari,27,Bahrain,1992,Summer,Barcelona,Athletics,NA
Aida O. Molinos Plares,23,Philippines,1964,Summer,Tokyo,Athletics,NA
Alex Wright,25,Ireland,2016,Summer,Rio de Janeiro,Athletics,NA
Altevir Silva de Arajo Filho,24,Brazil,1980,Summer,Moskva,Athletics,NA
Amanuel Mesel Tikue,25,Eritrea,2016,Summer,Rio de Janeiro,Athletics,NA
Ana Maria Guerreiro Dias,26,Portugal,2000,Summer,Sydney,Athletics,NA
Andrs Espinosa Prez,37,Mexico,2000,Summer,Sydney,Athletics,NA
Andrs Ruz Malaver,28,Colombia,2016,Summer,Rio de Janeiro,Athletics,NA
Anselmo Gomes da Silva,27,Brazil,2008,Summer,Beijing,Athletics,NA
"Anthony ""Tony"" Sharpe",23,Canada,1984,Summer,Los Angeles,Athletics,Bronze
Anthony Wilson,23,Canada,1992,Summer,Barcelona,Athletics,NA
Archfell Musango,21,Zambia,1980,Summer,Moskva,Athletics,NA
Arthur Delaender,29,Belgium,1920,Summer,Antwerpen,Athletics,NA
Barbara Bishop (Bovell),16,Barbados,1972,Summer,Munich,Athletics,NA
Barbara Ellen Wilson-Jordan,24,Australia,1976,Summer,Montreal,Athletics,NA
Barnab Jolicoeur,29,Mauritius,1996,Summer,Atlanta,Athletics,NA
Betty Lindsay McKinnon,23,Australia,1948,Summer,London,Athletics,Silver
Beverly McDonald (Stewart),30,Jamaica,2000,Summer,Sydney,Athletics,Bronze
Birgit Clarius (He),27,Germany,1992,Summer,Barcelona,Athletics,NA
Bo Henning Gustafsson,29,Sweden,1984,Summer,Los Angeles,Athletics,Silver
Britta Madelein Svensson (Strmqvist),23,Sweden,1992,Summer,Barcelona,Athletics,NA
Bror Henry Lindblad,22,Sweden,1928,Summer,Amsterdam,Athletics,NA
"Catherine Ann ""Cathy"" Sulinski",26,United States,1984,Summer,Los Angeles,Athletics,NA
Catherine Capdevielle,18,France,1956,Summer,Melbourne,Athletics,NA
Chen Jingwen,18,China,2008,Summer,Beijing,Athletics,NA
Cheung Suet Yee,23,Hong Kong,1988,Summer,Seoul,Athletics,NA
Curtis Alexander Robb,20,Great Britain,1992,Summer,Barcelona,Athletics,NA
Damian Warner,22,Canada,2012,Summer,London,Athletics,NA
Dana Velkov,35,Slovakia,2016,Summer,Rio de Janeiro,Athletics,NA
Daniele Meucci,26,Italy,2012,Summer,London,Athletics,NA
"David George ""Dave"" Bailey",23,Canada,1968,Summer,Mexico City,Athletics,NA
David George Brownlow Cecil Burghley,27,Great Britain,1932,Summer,Los Angeles,Athletics,NA
Derrick Atkins,24,Bahamas,2008,Summer,Beijing,Athletics,NA
"Dominick Steven ""Dom"" King",33,Great Britain,2016,Summer,Rio de Janeiro,Athletics,NA
"Donald Forbes ""Don"" Macgregor",33,Great Britain,1972,Summer,Munich,Athletics,NA
Douglas Zinkala,24,Zambia,1968,Summer,Mexico City,Athletics,NA
Edward Boyce,23,Great Britain,1936,Summer,Berlin,Athletics,NA
Eleanor McKenzie (Miller),21,Canada,1952,Summer,Helsinki,Athletics,NA
Eric Victor Dunbar,22,Great Britain,1920,Summer,Antwerpen,Athletics,NA
Erick Bernab Barrondo Garca,21,Guatemala,2012,Summer,London,Athletics,NA
Erika Pollmann (Rost),20,Germany,1964,Summer,Tokyo,Athletics,NA
Erin Hinano Tierney,18,Cook Islands,1988,Summer,Seoul,Athletics,NA
"Eugnius Joannes ""mile"" Langenraedt",20,Belgium,1928,Summer,Amsterdam,Athletics,NA
Eva Lehock-Gleskov,29,Czechoslovakia,1972,Summer,Munich,Athletics,NA
Evelyn Ashford (Washington),35,United States,1992,Summer,Barcelona,Athletics,NA
Evelyn Carolina de Oliveira dos Santos,27,Brazil,2012,Summer,London,Athletics,NA
Fermn Cacho Ruiz,27,Spain,1996,Summer,Atlanta,Athletics,Silver
Fernando Eugnio Pacheco Mamede,19,Portugal,1972,Summer,Munich,Athletics,NA
Fidel Solrzano,26,Ecuador,1988,Summer,Seoul,Athletics,NA
Foy Draper,22,United States,1936,Summer,Berlin,Athletics,Gold
Friederike Mhlenkamp,23,Germany,2016,Summer,Rio de Janeiro,Athletics,NA
Gabriella Dorio (Spigarolo),19,Italy,1976,Summer,Montreal,Athletics,NA
"Georges Dsir ""Go"" Malfait",29,France,1908,Summer,London,Athletics,NA
Georgy Gavrilovich Ivakin,23,Soviet Union,1952,Summer,Helsinki,Athletics,NA
Germn Lujn Lauro,28,Argentina,2012,Summer,London,Athletics,NA
Gertrud Kille (Schlter),27,Germany,1952,Summer,Helsinki,Athletics,NA
Giovanni Perricelli,21,Italy,1988,Summer,Seoul,Athletics,NA
Gnter Wilhelm Leichum,25,Germany,1936,Summer,Berlin,Athletics,Bronze
Hagen Pohle,24,Germany,2016,Summer,Rio de Janeiro,Athletics,NA
Haji Bakr Al-Qahtani,23,Saudi Arabia,1988,Summer,Seoul,Athletics,NA
Halland Britton,34,Great Britain,1924,Summer,Paris,Athletics,NA
Ho Chin-Ping,32,Chinese Taipei,2016,Summer,Rio de Janeiro,Athletics,NA
Ibrahim Mohamedin Aboubaker,21,Qatar,2004,Summer,Athina,Athletics,NA
Ihor Petrenko,22,Soviet Union,1960,Summer,Roma,Athletics,NA
Ilrey Oliver (Sparks),21,Jamaica,1984,Summer,Los Angeles,Athletics,NA
Ilze Gribule,20,Latvia,2004,Summer,Athina,Athletics,NA
Ivan Grigoryevich Tikhon,28,Belarus,2004,Summer,Athina,Athletics,NA
"James Donald ""Don"" McFarlane",21,Canada,1952,Summer,Helsinki,Athletics,NA
Jan Bielecki,29,Denmark,2000,Summer,Sydney,Athletics,NA
Jasem Goma'an Al-Dowaila,25,Kuwait,1988,Summer,Seoul,Athletics,NA
Javier Adolfo Carriqueo Inostroza,29,Argentina,2008,Summer,Beijing,Athletics,NA
"Jennifer ""Jenny"" Dahlgren Fitzner",32,Argentina,2016,Summer,Rio de Janeiro,Athletics,NA
"Johannes ""Hanns"" Braun",25,Germany,1912,Summer,Stockholm,Athletics,NA
John Paul Lyndon Regis,25,Great Britain,1992,Summer,Barcelona,Athletics,NA
Jol Denis Bourgeois,25,Canada,1996,Summer,Atlanta,Athletics,NA
Joseph Gikonyo Mukinyi,31,Kenya,1996,Summer,Atlanta,Athletics,NA
"Josip ""Jozo"" Alebi",25,Yugoslavia,1972,Summer,Munich,Athletics,NA
Kenneth Dzekedzeke,19,Malawi,1988,Summer,Seoul,Athletics,NA
"Khrysopigi ""Pigi"" Devetzi",28,Greece,2004,Summer,Athina,Athletics,Silver
Kjell Gunnar Isaksson,24,Sweden,1972,Summer,Munich,Athletics,NA
Kjersti Tysse-Pltzer,36,Norway,2008,Summer,Beijing,Athletics,Silver
Kobala Vithanage Damayanthi Dharsha,25,Sri Lanka,2000,Summer,Sydney,Athletics,NA
"Kostiantyn Mykhailovych ""Kostia"" Rurak",22,Ukraine,1996,Summer,Atlanta,Athletics,NA
Kyriakos Ioannou,20,Cyprus,2004,Summer,Athina,Athletics,NA
Laine Erik (Kallas),22,Soviet Union,1964,Summer,Tokyo,Athletics,NA
Lee Mi-Ok,30,South Korea,1988,Summer,Seoul,Athletics,NA
Llewellyn George Herbert,18,South Africa,1996,Summer,Atlanta,Athletics,NA
"Louis Joseph ""Lou"" Sebert",21,Canada,1908,Summer,London,Athletics,NA
Louis Nkanza,22,Congo (Brazzaville),1972,Summer,Munich,Athletics,NA
Lszl Stor,27,Hungary,1980,Summer,Moskva,Athletics,NA
Lucien Sellapuliage Benedict Rosa,28,Sri Lanka,1972,Summer,Munich,Athletics,NA
Lynn Williams (Kanuka-),24,Canada,1984,Summer,Los Angeles,Athletics,Bronze
Ma Chun-Ping,20,Chinese Taipei,1992,Summer,Barcelona,Athletics,NA
Manfred Kinder,26,Germany,1964,Summer,Tokyo,Athletics,NA
Manuel Carlos Gayoso Daz,28,Spain,1972,Summer,Munich,Athletics,NA
Maria Musso,25,Italy,1956,Summer,Melbourne,Athletics,NA
Maricica Puic (Luca-),25,Romania,1976,Summer,Montreal,Athletics,NA
Marko Ewout Koers,19,Netherlands,1992,Summer,Barcelona,Athletics,NA
Methkal Marouf Abu Drais,32,Jordan,2016,Summer,Rio de Janeiro,Athletics,NA
mile Jean Binet,28,Belgium,1936,Summer,Berlin,Athletics,NA
Mirosaw Zenon Wodzyski,21,Poland,1972,Summer,Munich,Athletics,NA
Mogens Daniel Guldberg,25,Denmark,1988,Summer,Seoul,Athletics,NA
Nancy Lewington,19,Canada,1960,Summer,Roma,Athletics,NA
Nataliya Akhrimenko (Petrova),33,Soviet Union,1988,Summer,Seoul,Athletics,NA
Nebiat Habtemariam Measho,25,Eritrea,2004,Summer,Athina,Athletics,NA
"Nicholas Ian ""Nick"" Willis",21,New Zealand,2004,Summer,Athina,Athletics,NA
Nobuyoshi Sadanaga,31,Japan,1960,Summer,Roma,Athletics,NA
Norma Enriqueta Basilio Sotelo,20,Mexico,1968,Summer,Mexico City,Athletics,NA
Odelmys Palma Lpez,24,Cuba,1996,Summer,Atlanta,Athletics,NA
Olena Kholosha,30,Ukraine,2012,Summer,London,Athletics,NA
Olesea Cojuhari,22,Moldova,2012,Summer,London,Athletics,NA
Oscar Larsen,24,Norway,1912,Summer,Stockholm,Athletics,NA
Otis Crandall Davis,28,United States,1960,Summer,Roma,Athletics,Gold
Ouattara Lagazane,29,Cote d'Ivoire,1992,Summer,Barcelona,Athletics,NA
Paavo Ilmari Yrjl,30,Finland,1932,Summer,Los Angeles,Athletics,NA
Paul Erik Olofsson Carlgren,25,Sweden,1972,Summer,Munich,Athletics,NA
Petra Mller (Schersing),23,East Germany,1988,Summer,Seoul,Athletics,Bronze
Pierre Mazille,26,France,1948,Summer,London,Athletics,NA
"Raymond Amos ""Ray"" Robertson",22,United States,1924,Summer,Paris,Athletics,NA
Regina George Grause,21,Nigeria,2012,Summer,London,Athletics,NA
Reinhold Saulmann,24,Estonia,1920,Summer,Antwerpen,Athletics,NA
Reyes Estvez Lpez,32,Spain,2008,Summer,Beijing,Athletics,NA
Roman Fosti,33,Estonia,2016,Summer,Rio de Janeiro,Athletics,NA
Rosa Alba Chacha Chacha,33,Ecuador,2016,Summer,Rio de Janeiro,Athletics,NA
Rosmery Quispe Guarachi,32,Bolivia,2016,Summer,Rio de Janeiro,Athletics,NA
Samuel Aurelio Anderson Schweyer,22,Cuba,1952,Summer,Helsinki,Athletics,NA
Sandra Elizabeth Brown (Webb),22,Australia,1968,Summer,Mexico City,Athletics,NA
Seun Ogunkoya,22,Nigeria,2000,Summer,Sydney,Athletics,NA
"Susan Elizabeth ""Sue"" Hobson",42,Australia,2000,Summer,Sydney,Athletics,NA
Sven Otto Nilsson,28,Sweden,1908,Summer,London,Athletics,NA
Tapio Olavi Luoto,21,Finland,1948,Summer,London,Athletics,NA
Toms Salvador Paquete,28,Portugal,1952,Summer,Helsinki,Athletics,NA
Verna Johnston (McIntosh),22,Australia,1952,Summer,Helsinki,Athletics,NA
Viktor Semyonovich Semyonov,27,Soviet Union,1976,Summer,Montreal,Athletics,NA
Viktoriya Viktorovna Zyabkina,23,Kazakhstan,2016,Summer,Rio de Janeiro,Athletics,NA
Vittorio Zucca,28,Italy,1924,Summer,Paris,Athletics,NA
Vnuste Niyongabo,22,Burundi,1996,Summer,Atlanta,Athletics,Gold
Walter Strebi,20,Switzerland,1924,Summer,Paris,Athletics,NA
Wassana Panyapuek,15,Thailand,1984,Summer,Los Angeles,Athletics,NA
Werner Christen,34,Switzerland,1948,Summer,London,Athletics,NA
"Wilhelm ""Ville"" Kyrnen",33,Finland,1924,Summer,Paris,Athletics,NA
Wilhelm Rothmayer,25,Austria,1936,Summer,Berlin,Athletics,NA
"William L. ""Bill"" Reilly",25,United States,1968,Summer,Mexico City,Athletics,NA
William Sawe,33,Kenya,1988,Summer,Seoul,Athletics,NA
Wolfgang Schillkowski,22,Germany,1964,Summer,Tokyo,Athletics,NA
Xenia Stad-de Jong (van Bijlevelt),26,Netherlands,1948,Summer,London,Athletics,Gold
Yennifer Frank Casaas Hernndez,33,Spain,2012,Summer,London,Athletics,NA
Yumeka Sano,27,Japan,2012,Summer,London,Athletics,NA
Zalina Marghiev (Petrivskaya),28,Moldova,2016,Summer,Rio de Janeiro,Athletics,NA
Zdenk Pospil,27,Czechoslovakia,1952,Summer,Helsinki,Athletics,NA
Zhang Guowei,21,China,2012,Summer,London,Athletics,NA
Zhu Ronghua,30,China,2004,Summer,Athina,Athletics,NA
Zsuzsa Szab (Nagy-),24,Hungary,1964,Summer,Tokyo,Athletics,NA
Eline Olga Coene,32,Netherlands,1996,Summer,Atlanta,Badminton,NA
Hongyan Pi,29,France,2008,Summer,Beijing,Badminton,NA
Lars Hjer Paaske,24,Denmark,2000,Summer,Sydney,Badminton,NA
Lee Hyo-Jeong,27,South Korea-1,2008,Summer,Beijing,Badminton,Gold
Linda Zetchiri,29,Bulgaria,2016,Summer,Rio de Janeiro,Badminton,NA
Yuliani Sentoso,24,Indonesia,1996,Summer,Atlanta,Badminton,NA
Akihiro Togo,25,Japan,1992,Summer,Barcelona,Baseball,Bronze
Danel Castro Muagorri,24,Cuba,2000,Summer,Sydney,Baseball,Silver
Pai Kun-Hong,22,Chinese Taipei,1992,Summer,Barcelona,Baseball,Silver
Pedro Luis Lazo Iglesias,31,Cuba,2004,Summer,Athina,Baseball,Gold
Adam Maria Niemiec,21,Poland,1968,Summer,Mexico City,Basketball,NA
"Adriana ""Adrianinha"" Moiss Pinto",33,Brazil,2012,Summer,London,Basketball,NA
Camille Marie Thompson,24,Canada,1996,Summer,Atlanta,Basketball,NA
"Charles Thomas ""Tom"" McMillen",20,United States,1972,Summer,Munich,Basketball,Silver
"Daniel ""Danny"" Morseu",25,Australia,1984,Summer,Los Angeles,Basketball,NA
Du Feng,27,China,2008,Summer,Beijing,Basketball,NA
Fouad Abdel Meguid Abou El-Kheir,30,Egypt,1952,Summer,Helsinki,Basketball,NA
Frantiek Hjek,20,Czechoslovakia,1936,Summer,Berlin,Basketball,NA
Giuseppina Tufano,27,Italy,1992,Summer,Barcelona,Basketball,NA
Joachim Linnemann,21,West Germany,1972,Summer,Munich,Basketball,NA
Lszl Gabnyi,25,Hungary,1960,Summer,Roma,Basketball,NA
Luis Emilio Villar,29,Argentina,1996,Summer,Atlanta,Basketball,NA
"Patricia Sue ""Pat"" Head (Summitt)",24,United States,1976,Summer,Montreal,Basketball,Silver
Serhiy Ivanovych Kovalenko,21,Soviet Union,1968,Summer,Mexico City,Basketball,Bronze
Shannon Regina Johnson,29,United States,2004,Summer,Athina,Basketball,Gold
Sun Yue,22,China,2008,Summer,Beijing,Basketball,NA
Tamra Dauniene (Kaagina-),24,Soviet Union,1976,Summer,Montreal,Basketball,Gold
Vladimir Viktorovich Zhigily,27,Soviet Union,1980,Summer,Moskva,Basketball,Bronze
Alfred Eder,30,Austria,1984,Winter,Sarajevo,Biathlon,NA
Andrea Henkel (Burke),24,Germany,2002,Winter,Salt Lake City,Biathlon,Gold
Anna Ivanovna Bogaly-Titovets,26,Russia,2006,Winter,Torino,Biathlon,NA
"Anthony ""Tony"" McLeod",24,Great Britain,1984,Winter,Sarajevo,Biathlon,NA
Brendan Green,27,Canada,2014,Winter,Sochi,Biathlon,NA
Carl Davies,23,Great Britain,1988,Winter,Calgary,Biathlon,NA
Charles Plamondon,26,Canada,1988,Winter,Calgary,Biathlon,NA
Delphyne Heymann-Burlet,25,France,1992,Winter,Albertville,Biathlon,NA
Dorothea Wierer,23,Italy,2014,Winter,Sochi,Biathlon,Bronze
Ekaterina Stefanova Dafovska (Prodanova),22,Bulgaria,1998,Winter,Nagano,Biathlon,Gold
Iveta Knkov,26,Czech Republic,1994,Winter,Lillehammer,Biathlon,NA
Janez Obolt,23,Slovenia,1994,Winter,Lillehammer,Biathlon,NA
Jean-Claude Viry,32,France,1976,Winter,Innsbruck,Biathlon,NA
Karin Oberhofer,24,Italy,2010,Winter,Vancouver,Biathlon,NA
Karl David Ekholm,27,Sweden,2006,Winter,Torino,Biathlon,NA
Kauri Kiv,30,Estonia,2014,Winter,Sochi,Biathlon,NA
Kazuo Sasakubo,29,Japan,1976,Winter,Innsbruck,Biathlon,NA
Krystyna Stanisawa Paka (Guzik),30,Poland,2014,Winter,Sochi,Biathlon,NA
Mattia Cola,25,Italy,2010,Winter,Vancouver,Biathlon,NA
Micha Piecha,26,Poland,2006,Winter,Torino,Biathlon,NA
Oleksiy Vitaliyovych Korobeinikov,27,Ukraine,2006,Winter,Torino,Biathlon,NA
Olga Sergeyevna Kudryashova,31,Belarus,2010,Winter,Vancouver,Biathlon,NA
Sergey Petrovich Tarasov,28,Russia,1994,Winter,Lillehammer,Biathlon,Bronze
Soa Mihokov,34,Slovakia,2006,Winter,Torino,Biathlon,NA
"Steven ""Steve"" Cyr",30,Canada,1998,Winter,Nagano,Biathlon,NA
Valentyna Adamivna Tserbe-Nessina,25,Ukraine,1994,Winter,Lillehammer,Biathlon,Bronze
Yuki Nakajima,23,Japan,2014,Winter,Sochi,Biathlon,NA
Adrian Duminicel,25,Romania-1,2006,Winter,Torino,Bobsleigh,NA
"Benjamin Stuart ""Ben"" Simons",27,Great Britain-2,2014,Winter,Sochi,Bobsleigh,NA
Carl-Erik Mauritz Eriksson,33,Sweden-2,1964,Winter,Innsbruck,Bobsleigh,NA
Dietmar Schauerhammer,28,East Germany-2,1984,Winter,Sarajevo,Bobsleigh,Gold
Elana Alessandra Meyers (Taylor),29,United States-1,2014,Winter,Sochi,Bobsleigh,Silver
Fritz Feierabend,27,Switzerland-1,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,Silver
Giorgio Alver,32,Italy-1,1976,Winter,Innsbruck,Bobsleigh,NA
Hans Ngle,26,Germany-2,1928,Winter,Sankt Moritz,Bobsleigh,Bronze
Hans-Peter Welz,30,Austria,2006,Winter,Torino,Bobsleigh,NA
Josef Eder,25,Austria-1,1968,Winter,Grenoble,Bobsleigh,Silver
Masaru Miyauchi,25,Japan,2010,Winter,Vancouver,Bobsleigh,NA
mile Kleber,36,France-2,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,NA
Oleksiy Zhukov,29,Ukraine,1994,Winter,Lillehammer,Bobsleigh,NA
Adewale Adegbusi,30,Nigeria,1988,Summer,Seoul,Boxing,NA
Arslanbek Aylow,23,Turkmenistan,2016,Summer,Rio de Janeiro,Boxing,NA
Bakhtiyar Tyleganov,20,Kazakhstan,1996,Summer,Atlanta,Boxing,NA
Bruno Petrarca,17,Italy,1924,Summer,Paris,Boxing,NA
Clotilde Coln Santiago,21,Puerto Rico,1948,Summer,London,Boxing,NA
Eamonn Henry McCusker,23,Ireland,1968,Summer,Mexico City,Boxing,NA
Gnohere Sery,23,Cote d'Ivoire,1984,Summer,Los Angeles,Boxing,NA
Grzegorz Kiesa,30,Poland,2000,Summer,Sydney,Boxing,NA
Harry Valfrid Siljander,29,Finland,1952,Summer,Helsinki,Boxing,Bronze
Hctor Juliano Maturano Giuranovich,30,Argentina,1952,Summer,Helsinki,Boxing,NA
Imre Bcskai,27,Hungary,1988,Summer,Seoul,Boxing,NA
Kurt Antero Mattsson,24,Finland,1964,Summer,Tokyo,Boxing,NA
Masibulele Makepula,23,South Africa,1996,Summer,Atlanta,Boxing,NA
Mirko Puzovi,28,Yugoslavia,1984,Summer,Los Angeles,Boxing,Bronze
Philippe Desavoye,23,France,1988,Summer,Seoul,Boxing,NA
Rafael Zuiga Medrano,21,Colombia,1984,Summer,Los Angeles,Boxing,NA
Raoul Sarrazin,22,Canada,1960,Summer,Roma,Boxing,NA
Roberto Caminero Prez,19,Cuba,1964,Summer,Tokyo,Boxing,NA
Vazik Ghazarian,23,Iran,1960,Summer,Roma,Boxing,NA
verton dos Santos Lopes,19,Brazil,2008,Summer,Beijing,Boxing,NA
