Name,Age,Team,Year,Season,City,Sport,Medal
Enrique Toms Gonzlez Seplveda,26,Chile,2012,Summer,London,Gymnastics,NA
Ernst Fivian,29,Switzerland,1960,Summer,Roma,Gymnastics,NA
Ernst Harry Madland,25,Norway,1952,Summer,Helsinki,Gymnastics,NA
Ferenc Pataki,30,Hungary,1948,Summer,London,Gymnastics,NA
Filip Ude,22,Croatia,2008,Summer,Beijing,Gymnastics,NA
Francesca Costa,21,Italy,1960,Summer,Roma,Gymnastics,NA
Frank Rijken,19,Netherlands,2016,Summer,Rio de Janeiro,Gymnastics,NA
Germana Malabarba,14,Italy,1928,Summer,Amsterdam,Gymnastics,Silver
Gertrude Gries,27,Austria,1952,Summer,Helsinki,Gymnastics,NA
Gertrude Winnige-Barosch,23,Austria,1952,Summer,Helsinki,Gymnastics,NA
Gervasio Deferr ngel,23,Spain,2004,Summer,Athina,Gymnastics,NA
Gilbert Larose,26,Canada,1968,Summer,Mexico City,Gymnastics,NA
Giuseppe Paris,28,Italy,1924,Summer,Paris,Gymnastics,NA
gnes Misk,16,Hungary,1988,Summer,Seoul,Gymnastics,NA
Gnter Beier,26,East Germany,1968,Summer,Mexico City,Gymnastics,NA
Han Yun-Su,23,South Korea,1996,Summer,Atlanta,Gymnastics,NA
Hans Ettlin,27,Switzerland,1972,Summer,Munich,Gymnastics,NA
Harumy Mariko de Freitas,17,Brazil,2012,Summer,London,Gymnastics,NA
Heikki Albert (Henry-) Sammallahti (Lundahl-),26,Finland,1912,Summer,Stockholm,Gymnastics,Silver
Heinrich Pahner,20,Germany,1912,Summer,Stockholm,Gymnastics,NA
Helena Rakoczy (Krzynow-),30,Poland,1952,Summer,Helsinki,Gymnastics,NA
Helga Matschkur,25,West Germany,1968,Summer,Mexico City,Gymnastics,NA
Hwang Bo-Sil,19,North Korea,1992,Summer,Barcelona,Gymnastics,NA
Ikina Maria Wilhelmina Morsch,16,Netherlands,1972,Summer,Munich,Gymnastics,NA
Ilia Giorgadze,30,Georgia,2008,Summer,Beijing,Gymnastics,NA
Ivelina Petrova Raykova,16,Bulgaria,1988,Summer,Seoul,Gymnastics,NA
Ivn San Miguel Prez,23,Spain,2008,Summer,Beijing,Gymnastics,NA
Jaime Belenguer Hervs,23,Spain,1960,Summer,Roma,Gymnastics,NA
Jan Migdau,22,Czechoslovakia,1980,Summer,Moskva,Gymnastics,NA
Jana Vejrkov,21,Czechoslovakia,1988,Summer,Seoul,Gymnastics,NA
Janine Rene Rankin,20,Canada,1992,Summer,Barcelona,Gymnastics,NA
Jerzy Pawe Jokiel,29,Poland,1960,Summer,Roma,Gymnastics,NA
Joaquim Santa Maria Granger,24,Portugal,1952,Summer,Helsinki,Gymnastics,NA
"John Alexander ""Jack"" Whitford",28,Great Britain,1952,Summer,Helsinki,Gymnastics,NA
Jos Andr Romersa,20,Luxembourg,1936,Summer,Berlin,Gymnastics,NA
Josef kvor,26,Czechoslovakia,1956,Summer,Melbourne,Gymnastics,NA
Juan Nicolas L. Caviglia,30,Argentina,1960,Summer,Roma,Gymnastics,NA
Jury Dimitri Chechi,26,Italy,1996,Summer,Atlanta,Gymnastics,NA
Karel Kleka,28,Czechoslovakia,1964,Summer,Tokyo,Gymnastics,NA
Kazue Hanyu (Kasamatsu),18,Japan,1968,Summer,Mexico City,Gymnastics,NA
Kim Su-Myeon,21,South Korea,2008,Summer,Beijing,Gymnastics,NA
Kroly Kocsis,22,Hungary,1952,Summer,Helsinki,Gymnastics,NA
Krzysztof Potaczek,22,Poland,1980,Summer,Moskva,Gymnastics,NA
Ladislav Vcha,29,Czechoslovakia,1928,Summer,Amsterdam,Gymnastics,NA
Lajos Sntha,37,Hungary,1952,Summer,Helsinki,Gymnastics,NA
Li Ning,20,China,1984,Summer,Los Angeles,Gymnastics,Gold
Lisa Elena Jane Mason,18,Great Britain,2000,Summer,Sydney,Gymnastics,NA
Lisa Moro,15,Australia,1996,Summer,Atlanta,Gymnastics,NA
Louis Antoine Smith,19,Great Britain,2008,Summer,Beijing,Gymnastics,NA
Louis Henry Rathke,20,United States,1904,Summer,St. Louis,Gymnastics,NA
Margit Korondi,24,Hungary,1956,Summer,Melbourne,Gymnastics,NA
Marina Aleksandrovna Zarzhitskaya,18,Belarus,2000,Summer,Sydney,Gymnastics,NA
Martti Uosikkinen,26,Finland,1936,Summer,Berlin,Gymnastics,NA
Max Brhwiler,24,Switzerland,1972,Summer,Munich,Gymnastics,NA
Maxi Gnauck,15,East Germany,1980,Summer,Moskva,Gymnastics,NA
Meinrad Berchtold,20,Switzerland,1964,Summer,Tokyo,Gymnastics,NA
Miroslav Forte,24,Yugoslavia,1936,Summer,Berlin,Gymnastics,NA
Monica Elisabeth Elfvin (Nkleby),21,Sweden,1960,Summer,Roma,Gymnastics,NA
Muriel Evelyn Davis-Grossfeld,19,United States,1960,Summer,Roma,Gymnastics,NA
Natalia Kot (Wala),18,Poland,1956,Summer,Melbourne,Gymnastics,NA
Ng Shu Wai,19,Malaysia,2004,Summer,Athina,Gymnastics,NA
Nicu Florin Stroia (Gassenheimer),24,Romania,1996,Summer,Atlanta,Gymnastics,NA
Nikolay Kalinkov Atanasov,28,Bulgaria,1952,Summer,Helsinki,Gymnastics,NA
Nikolay Yulyevich Kuksenkov,23,Ukraine,2012,Summer,London,Gymnastics,NA
Nina Derwael,16,Belgium,2016,Summer,Rio de Janeiro,Gymnastics,NA
Nobue Yamazaki,25,Japan,1976,Summer,Montreal,Gymnastics,NA
Nobuyuki Aihara,25,Japan,1960,Summer,Roma,Gymnastics,Gold
Ognyan Bangiev,24,Bulgaria,1980,Summer,Moskva,Gymnastics,NA
Otto Jalmari Kestola,28,Finland,1964,Summer,Tokyo,Gymnastics,NA
Patrizia Bazzi,15,Switzerland,1972,Summer,Munich,Gymnastics,NA
Patrizia Luconi,17,Italy,1988,Summer,Seoul,Gymnastics,NA
Per Anton Mathisen,27,Norway,1912,Summer,Stockholm,Gymnastics,Gold
Peter Hol,25,Norway,1908,Summer,London,Gymnastics,Silver
Peter Martin Kormann,21,United States,1976,Summer,Montreal,Gymnastics,Bronze
Philipp Boy,25,Germany,2012,Summer,London,Gymnastics,NA
Pieter Johan van Dam,23,Netherlands,1928,Summer,Amsterdam,Gymnastics,NA
"Pieternella ""Nel"" Fritz (Zandee)",23,Netherlands,1960,Summer,Roma,Gymnastics,NA
Rasmus Hansen,27,Denmark,1912,Summer,Stockholm,Gymnastics,Silver
Rayna Ivanova Grigorova,20,Bulgaria,1952,Summer,Helsinki,Gymnastics,NA
Ren Badell Pollar,24,Cuba,1972,Summer,Munich,Gymnastics,NA
Rezs Kende,19,Hungary,1928,Summer,Amsterdam,Gymnastics,NA
Robert Klein,30,Germany,1956,Summer,Melbourne,Gymnastics,NA
Roberto Antonio Len Richards Aguiar,18,Cuba,1972,Summer,Munich,Gymnastics,NA
"Rudolf ""Rudy"" Schrader",29,United States,1904,Summer,St. Louis,Gymnastics,NA
Sergio Luini,23,Italy,1996,Summer,Atlanta,Gymnastics,NA
Shen Jian,21,China,1996,Summer,Atlanta,Gymnastics,Silver
Simona Puca (Rus),14,Romania,1984,Summer,Los Angeles,Gymnastics,Gold
tefan Gal,24,Romania,1976,Summer,Montreal,Gymnastics,NA
Todor Nikolov Kondev,25,Bulgaria,1964,Summer,Tokyo,Gymnastics,NA
Vctor Cano Segura,26,Spain,2004,Summer,Athina,Gymnastics,NA
Vilmos Szcs,14,Hungary,1906,Summer,Athina,Gymnastics,NA
Vitaly Venediktovich Shcherbo,20,Unified Team,1992,Summer,Barcelona,Gymnastics,Gold
Walter Bach,26,Switzerland,1936,Summer,Berlin,Gymnastics,NA
Wenche Sjong,17,Norway,1968,Summer,Mexico City,Gymnastics,NA
Yang Tae-Yeong,28,South Korea,2008,Summer,Beijing,Gymnastics,NA
Yelena Lvovna Shushunova,19,Soviet Union,1988,Summer,Seoul,Gymnastics,Gold
"Yelena Mikhaylovna ""Lena"" Piskun",18,Belarus,1996,Summer,Atlanta,Gymnastics,NA
Yordan Yovchev Yovchev,23,Bulgaria,1996,Summer,Atlanta,Gymnastics,NA
Yoshio Miyake,22,Japan,1936,Summer,Berlin,Gymnastics,NA
Zoltn Magyar,26,Hungary,1980,Summer,Moskva,Gymnastics,NA
Ahmed El-Awady,22,Egypt,1992,Summer,Barcelona,Handball,NA
Azenaide Danila Jos Carlos,18,Angola,2008,Summer,Beijing,Handball,NA
Bertrand Fabien Gille,34,France,2012,Summer,London,Handball,Gold
Birgir Finnbogason,23,Iceland,1972,Summer,Munich,Handball,NA
Cui Lei,27,China,2008,Summer,Beijing,Handball,NA
Delphine Guehl,26,France,2004,Summer,Athina,Handball,NA
Hosam Abdallah,29,Egypt,1996,Summer,Atlanta,Handball,NA
Igor Vori,27,Croatia,2008,Summer,Beijing,Handball,NA
Javier Reino Garca,21,Spain,1984,Summer,Los Angeles,Handball,NA
Josephine Maria Touray,24,Denmark,2004,Summer,Athina,Handball,Gold
Karmele Makazaga Urrutia,28,Spain,1992,Summer,Barcelona,Handball,NA
Klra Bonyhdi,24,Hungary,1980,Summer,Moskva,Handball,NA
Michaela Schanze,23,Germany,1996,Summer,Atlanta,Handball,NA
Mirjana urica,23,Yugoslavia,1984,Summer,Los Angeles,Handball,Gold
Paulo Rogerio Moratore,24,Brazil,1992,Summer,Barcelona,Handball,NA
Rolando Punik,26,Yugoslavia,1988,Summer,Seoul,Handball,Bronze
Ageeth Boomgaardt,31,Netherlands,2004,Summer,Athina,Hockey,Silver
"Alfred ""Fredy"" Gerdes",19,Germany,1936,Summer,Berlin,Hockey,Silver
Amarjeet Singh Marwa,24,Kenya,1972,Summer,Munich,Hockey,NA
"Anatole ""Tola"" Vologe",27,France,1936,Summer,Berlin,Hockey,NA
Daniel Beale,23,Australia,2016,Summer,Rio de Janeiro,Hockey,NA
David Austin Savage,32,Great Britain,1972,Summer,Munich,Hockey,NA
"Eduard ""Eddie"" Tubau Cutal",27,Spain,2008,Summer,Beijing,Hockey,Silver
"Eduard Herbert ""Eddy"" Tiel",21,Netherlands,1948,Summer,London,Hockey,Bronze
Eduardo Jardn y Ron,33,Spain,1948,Summer,London,Hockey,NA
Egbert Carmo Fernandes,27,Kenya,1968,Summer,Mexico City,Hockey,NA
Ellen Marijn Hoog,22,Netherlands,2008,Summer,Beijing,Hockey,Gold
Gagan Ajit Singh,23,India,2004,Summer,Athina,Hockey,NA
Ho Koh Chye,25,Malaysia,1968,Summer,Mexico City,Hockey,NA
Hussain Fazal,29,Afghanistan,1936,Summer,Berlin,Hockey,NA
Ignacio Cobos Vidal,30,Spain,1996,Summer,Atlanta,Hockey,Silver
"Jacob Pieter ""Jaap"" Leemhuis",22,Netherlands,1964,Summer,Tokyo,Hockey,NA
"James ""Jimmy"" Wallis",30,Great Britain,2004,Summer,Athina,Hockey,NA
John Paskin Taylor,24,Great Britain,1952,Summer,Helsinki,Hockey,Bronze
Joo Bosco Quevado da Silva,27,Hong Kong,1964,Summer,Tokyo,Hockey,NA
Juan Antonio Dinars Quera,22,Spain,1992,Summer,Barcelona,Hockey,NA
Julian Brian Pearce,31,Australia,1968,Summer,Mexico City,Hockey,Silver
Juliet Haslam,23,Australia,1992,Summer,Barcelona,Hockey,NA
Karl rdgh,40,Austria,1948,Summer,London,Hockey,NA
Kate Barber,31,United States,2008,Summer,Beijing,Hockey,NA
Lauren Powley,24,United States,2008,Summer,Beijing,Hockey,NA
Miguel Rovira Caellas,25,Spain,1988,Summer,Seoul,Hockey,NA
Milena Crestina Gaiga,27,Canada,1992,Summer,Barcelona,Hockey,NA
Park Mi-Hyeon,18,South Korea,2004,Summer,Athina,Hockey,NA
Peter Anthony Miskimmin,33,New Zealand,1992,Summer,Barcelona,Hockey,NA
Rachel Anne Imison,25,Australia,2004,Summer,Athina,Hockey,NA
Rachel Jane Petrie,29,New Zealand,2000,Summer,Sydney,Hockey,NA
Renuka Yadav,22,India,2016,Summer,Rio de Janeiro,Hockey,NA
"Santiago ""Santi"" Freixa Escude",25,Spain,2008,Summer,Beijing,Hockey,Silver
Stephan Patrick Veen,21,Netherlands,1992,Summer,Barcelona,Hockey,NA
Toshio Usami,24,Japan,1932,Summer,Los Angeles,Hockey,Silver
Yvan Freedman,30,Belgium,1956,Summer,Melbourne,Hockey,NA
"Aki-Petteri Arvid ""Aki"" Berg",20,Finland,1998,Winter,Nagano,Ice Hockey,Bronze
"Arthur William ""Art"" Green",26,Great Britain,1948,Winter,Sankt Moritz,Ice Hockey,NA
Bernd Kuhn,27,West Germany,1972,Winter,Sapporo,Ice Hockey,NA
Christophe Ville,28,France,1992,Winter,Albertville,Ice Hockey,NA
Erich Khnhackl,33,West Germany,1984,Winter,Sarajevo,Ice Hockey,NA
Ilya Valeryevich Kovalchuk,22,Russia,2006,Winter,Torino,Ice Hockey,NA
Jochen Thomas Hecht,24,Germany,2002,Winter,Salt Lake City,Ice Hockey,NA
Jorma Juhani Valtonen,33,Finland,1980,Winter,Lake Placid,Ice Hockey,NA
Knut Bertil Hilding Linde,20,Sweden,1928,Winter,Sankt Moritz,Ice Hockey,Silver
Manuele Celio,21,Switzerland,1988,Winter,Calgary,Ice Hockey,NA
"Michael F. ""Mike"" Dunham",21,United States,1994,Winter,Lillehammer,Ice Hockey,NA
Mieczysaw Kasprzycki,37,Poland,1948,Winter,Sankt Moritz,Ice Hockey,NA
Oksana Vitalyevna Tretyakova,26,Russia,2006,Winter,Torino,Ice Hockey,NA
Olga Petrovna Sosina,21,Russia,2014,Winter,Sochi,Ice Hockey,NA
Roman Kontek,23,Slovakia,1994,Winter,Lillehammer,Ice Hockey,NA
Ryan Alexander Gordon Smyth,29,Canada,2006,Winter,Torino,Ice Hockey,NA
"sa Annelie Charlotte ""Lotta"" Almblad (Lindefors)",25,Sweden,1998,Winter,Nagano,Ice Hockey,NA
Shigeru Shimada,24,Japan,1960,Winter,Squaw Valley,Ice Hockey,NA
Stephan Figliuzzi,29,Italy,1998,Winter,Nagano,Ice Hockey,NA
"Thomas Edward ""Ted"" Hibberd",21,Canada,1948,Winter,Sankt Moritz,Ice Hockey,Gold
Tuula Katriina Puputti,24,Finland,2002,Winter,Salt Lake City,Ice Hockey,NA
Viona Harrer,27,Germany,2014,Winter,Sochi,Ice Hockey,NA
Yekaterina Vladimirovna Pashkevich,41,Russia,2014,Winter,Sochi,Ice Hockey,NA
Andrzej Jzef Basik,28,Poland,1988,Summer,Seoul,Judo,NA
Anelson Guerra Vieira,26,Brazil,1980,Summer,Moskva,Judo,NA
Chen Fei,21,China,2012,Summer,London,Judo,NA
Edward Connelly Mullen,23,Great Britain,1972,Summer,Munich,Judo,NA
Gantmriin Dashdavaa,23,Mongolia,2004,Summer,Athina,Judo,NA
Hiroshi Izumi,26,Japan,2008,Summer,Beijing,Judo,NA
Juha Heikki Salonen,30,Finland,1992,Summer,Barcelona,Judo,NA
Keith Laurence Morgan,30,Canada,2004,Summer,Athina,Judo,NA
Kim Jong-Dal,18,South Korea,1964,Summer,Tokyo,Judo,NA
Konstantinos Konstantinou,18,Cyprus,1980,Summer,Moskva,Judo,NA
Lhofei Shiozawa,23,Brazil,1964,Summer,Tokyo,Judo,NA
Lucija Polavder,23,Slovenia,2008,Summer,Beijing,Judo,Bronze
M'Mah Soumah,19,Guinea,2004,Summer,Athina,Judo,NA
Mara Isabel Fernndez Gutirrez,28,Spain,2000,Summer,Sydney,Judo,Gold
Mara Kovaevi,24,Serbia and Montenegro,2000,Summer,Sydney,Judo,NA
Naina Cecilia Ravaoarisoa,24,Madagascar,2000,Summer,Sydney,Judo,NA
Rishod Rashidovich Sobirov,25,Uzbekistan,2012,Summer,London,Judo,Bronze
Romy Tarangul,24,Germany,2012,Summer,London,Judo,NA
Rudymar Fleming Pernil,23,Venezuela,2004,Summer,Athina,Judo,NA
Stefan Dott,22,Germany,1992,Summer,Barcelona,Judo,NA
"Ulrich ""Ueli"" Falk",22,Switzerland,1972,Summer,Munich,Judo,NA
Agris Elerts,26,Latvia,1994,Winter,Lillehammer,Luge,NA
Angelika Neuner,28,Austria,1998,Winter,Nagano,Luge,Bronze
Carole Maxine Keyes,31,Canada,1984,Winter,Sarajevo,Luge,NA
Danylo Panchenko,28,Ukraine,2002,Winter,Salt Lake City,Luge,NA
Eugen Teodor Radu,27,Romania-2,2006,Winter,Torino,Luge,NA
Gerda Weissensteiner,23,Italy,1992,Winter,Albertville,Luge,NA
Gregory Carigiet,26,Switzerland,2014,Winter,Sochi,Luge,NA
Ionu Dorin ran,18,Romania-1,2006,Winter,Torino,Luge,NA
Markta Jeriov,29,Czech Republic,2006,Winter,Torino,Luge,NA
Simon Beck,20,Liechtenstein,1968,Winter,Grenoble,Luge,NA
Snorre Pedersen,19,Norway,1992,Winter,Albertville,Luge,NA
Yury Svetikov,24,Soviet Union,1972,Winter,Sapporo,Luge,NA
Alberto Ortz Alvrez,25,Uruguay,1948,Summer,London,Modern Pentathlon,NA
Anatoly Vasilevich Starostin,20,Soviet Union,1980,Summer,Moskva,Modern Pentathlon,Gold
Bertil Gustafsson Uggla,33,Sweden,1924,Summer,Paris,Modern Pentathlon,Bronze
Chloe Esposito,24,Australia,2016,Summer,Rio de Janeiro,Modern Pentathlon,Gold
Dmitry Valeryevich Svatkovsky,24,Russia,1996,Summer,Atlanta,Modern Pentathlon,NA
Kim Seong-Ho,23,South Korea,1988,Summer,Seoul,Modern Pentathlon,NA
Robert Gordon Barrie,20,Australia,1972,Summer,Munich,Modern Pentathlon,NA
Veli Gunnar Bogislaus von Hohenthal,31,Russia,1912,Summer,Stockholm,Modern Pentathlon,NA
Walter Esser,27,West Germany,1972,Summer,Munich,Modern Pentathlon,NA
Carl Van Loan,25,United States,2006,Winter,Torino,Nordic Combined,NA
Franz Wende,23,Czechoslovakia,1928,Winter,Sankt Moritz,Nordic Combined,NA
Jason Grgory Lamy-Chappuis,23,France,2010,Winter,Vancouver,Nordic Combined,Gold
Jens Salume,16,Estonia,1998,Winter,Nagano,Nordic Combined,NA
Lars Gsta Dahlqvist,24,Sweden,1960,Winter,Squaw Valley,Nordic Combined,NA
Tsugiharu Ogiwara,28,Japan,1998,Winter,Nagano,Nordic Combined,NA
David Dawnay,33,Great Britain,1936,Summer,Berlin,Polo,Silver
lvaro de Figueroa y Alonso-Martnez,30,Spain,1924,Summer,Paris,Polo,NA
Anastasiya Vladimirovna Ivankova,20,Belarus,2012,Summer,London,Rhythmic Gymnastics,Silver
Laetitia Mancieri,17,France,2000,Summer,Sydney,Rhythmic Gymnastics,NA
Alfred Meister,26,Switzerland,1968,Summer,Mexico City,Rowing,NA
Anioara Sorohan-Minea,21,Romania,1984,Summer,Los Angeles,Rowing,Gold
Anna Elbieta Brandysiewicz (Rekosz),21,Poland,1976,Summer,Montreal,Rowing,NA
Arne Serck-Hanssen,23,Norway,1948,Summer,London,Rowing,NA
Bernhard Rhling,31,Germany,2000,Summer,Sydney,Rowing,NA
Bohumil Janouek,27,Czechoslovakia,1964,Summer,Tokyo,Rowing,Bronze
Camille Becanne,22,France,1936,Summer,Berlin,Rowing,NA
"Catherine Rose ""Katie"" Greves (Solesbury)",33,Great Britain,2016,Summer,Rio de Janeiro,Rowing,Silver
Denis Germain Fritz Guye,26,Great Britain,1928,Summer,Amsterdam,Rowing,NA
Dhison Alexander Hernndez Echezuria,23,Venezuela,2008,Summer,Beijing,Rowing,NA
Elisabeta Oleniuc-Lip,27,Romania,1992,Summer,Barcelona,Rowing,Silver
"Elizabeth Ann ""Betsy"" Beard (Stillings)",27,United States,1988,Summer,Seoul,Rowing,NA
Emma Robinson,28,Canada,2000,Summer,Sydney,Rowing,NA
Georgi Petkov,24,Bulgaria,1980,Summer,Moskva,Rowing,NA
"Gianantonio ""Antonio"" Saverio",20,Italy,1952,Summer,Helsinki,Rowing,NA
Giovanni Marco Suarez,25,Italy,1988,Summer,Seoul,Rowing,NA
Grzegorz Jzef Stellak,21,Poland,1972,Summer,Munich,Rowing,NA
Hana Dariusov (Parker),23,Czech Republic,1996,Summer,Atlanta,Rowing,NA
Henri-Pierre Dall'acqua,23,France,1996,Summer,Atlanta,Rowing,NA
"Janusz Stanisaw ""Jan"" Mikoajczak (Krenz-)",25,Poland,1932,Summer,Los Angeles,Rowing,Bronze
Jean-Baptiste Mathieu,25,Socit Nautique de Bayonne-1,1906,Summer,Athina,Rowing,Bronze
John Dickinson McKinlay,24,United States,1956,Summer,Melbourne,Rowing,Silver
John Van Blom,28,United States,1976,Summer,Montreal,Rowing,NA
Judit Kri-Novk,26,Hungary,1976,Summer,Montreal,Rowing,NA
Lene Skov Andersson,28,Denmark,1996,Summer,Atlanta,Rowing,NA
Louis Stanislas Thomaturg,33,Socit Nautique de Bayonne,1912,Summer,Stockholm,Rowing,NA
Marc Weber,24,Germany,1996,Summer,Atlanta,Rowing,Silver
Matteo Lodo,21,Italy,2016,Summer,Rio de Janeiro,Rowing,Bronze
Matthew Clive Pinsent,33,Great Britain,2004,Summer,Athina,Rowing,Gold
Morgan Jarvis,28,Canada,2012,Summer,London,Rowing,NA
Nikola Sladunov Zlatanov,27,Bulgaria,1988,Summer,Seoul,Rowing,NA
Olena Ivanivna Ronzhyna-Morozova,25,Ukraine,1996,Summer,Atlanta,Rowing,Silver
Philipp Ster,27,Germany,2004,Summer,Athina,Rowing,NA
Raimund Hrmann,27,West Germany,1984,Summer,Los Angeles,Rowing,Gold
Ren Kieft,25,Netherlands,1972,Summer,Munich,Rowing,NA
Rolf Streuli,29,Switzerland,1960,Summer,Roma,Rowing,NA
Roman Vitalyevich Monchenko,31,Russia,1996,Summer,Atlanta,Rowing,Bronze
Soraya Iffat Jadu Arriaza,33,Chile,2008,Summer,Beijing,Rowing,NA
"Thomas Alan ""Tom"" Herschmiller",22,Canada,2000,Summer,Sydney,Rowing,NA
Tomasz Bogusaw Kucharski,30,Poland,2004,Summer,Athina,Rowing,Gold
Vasilios Polymeros,24,Greece,2000,Summer,Sydney,Rowing,NA
Veselin Shterev,22,Bulgaria,1980,Summer,Moskva,Rowing,NA
Vladek Lacina,31,Czechoslovakia,1980,Summer,Moskva,Rowing,NA
Wolfgang Maennig,24,West Germany,1984,Summer,Los Angeles,Rowing,NA
Yelena Usarova,22,Uzbekistan,2004,Summer,Athina,Rowing,NA
Yuliya Valentinovna Bichik,17,Belarus,2000,Summer,Sydney,Rowing,NA
"Alexandra Maria ""Alex"" Maloney",24,New Zealand,2016,Summer,Rio de Janeiro,Sailing,Silver
Antonis Tsotras,22,Greece,2012,Summer,London,Sailing,NA
Bruce Robert William Kirby,39,Canada,1968,Summer,Mexico City,Sailing,NA
"Chi Loong ""Ben"" Tan",28,Singapore,1996,Summer,Atlanta,Sailing,NA
Christoph Bergmann,25,Brazil,1988,Summer,Seoul,Sailing,NA
Elad Ronen,24,Israel,2000,Summer,Sydney,Sailing,NA
Eliseu Ganda,23,Angola,1992,Summer,Barcelona,Sailing,NA
"Giovanni ""Gianni"" Torboli",46,Italy,1996,Summer,Atlanta,Sailing,NA
"Hendrik Jan ""Hans"" Pluijgers",41,Kemphaan,1928,Summer,Amsterdam,Sailing,NA
Juhani Richard Salovaara,32,Chaje II,1964,Summer,Tokyo,Sailing,NA
Karl-Heinz Thun,35,East Germany,1972,Summer,Munich,Sailing,Silver
Karsten Konrad Wilhelm Boysen Halblaub,30,Venezuela,1968,Summer,Mexico City,Sailing,NA
Leif Erichsen,31,Marmi II-1,1920,Summer,Antwerpen,Sailing,Silver
Lisa Laetitia Westerhof,22,Netherlands,2004,Summer,Athina,Sailing,NA
Lrke Buhl-Hansen,24,Denmark,2016,Summer,Rio de Janeiro,Sailing,NA
Maciej Tadeusz Grabowski,22,Poland,2000,Summer,Sydney,Sailing,NA
Matias Montinho,26,Angola,2016,Summer,Rio de Janeiro,Sailing,NA
Michael Hansen,26,Denmark,2016,Summer,Rio de Janeiro,Sailing,NA
Nicols Parodi,22,Uruguay,1992,Summer,Barcelona,Sailing,NA
Pedro Jacobo Dates,21,Cupidon III,1928,Summer,Amsterdam,Sailing,NA
Randall Scott Steele,26,United States,1984,Summer,Los Angeles,Sailing,Silver
Sara Lopez Mota Carmo,25,Portugal,2012,Summer,London,Sailing,NA
Silvio Jos Merlo de Marzi,27,Antares,1948,Summer,London,Sailing,NA
Stanisaw Euzebiusz Zalewski,28,Danuta,1936,Summer,Berlin,Sailing,NA
Sven Gustaf Saln,45,May Be,1936,Summer,Berlin,Sailing,Bronze
Sven Gustaf Thorell,44,Sweden,1932,Summer,Los Angeles,Sailing,NA
Toni Bulaja,26,Croatia,2000,Summer,Sydney,Sailing,NA
Udi Gal,25,Israel,2004,Summer,Athina,Sailing,NA
Victor Auguste Godinet,47,Favorite-17,1900,Summer,Paris,Sailing,NA
Yevgeny Yevgenyevich Burmatnov,30,Russia,1996,Summer,Atlanta,Sailing,NA
Adolf Michel,34,Austria,1912,Summer,Stockholm,Shooting,NA
"Alfred Page ""Al"" Lane",20,United States,1912,Summer,Stockholm,Shooting,NA
Amaury Ambrosio da Costa e Rocha,37,Brazil,1960,Summer,Roma,Shooting,NA
Andr Porthault,34,France,1976,Summer,Montreal,Shooting,NA
Arne Nielsen,28,Denmark,1924,Summer,Paris,Shooting,NA
Claudia Verdicchio-Krause,29,Germany,2004,Summer,Athina,Shooting,NA
Danilo Caro Guarnieri,30,Colombia,1996,Summer,Atlanta,Shooting,NA
David Lee,36,Canada,1984,Summer,Los Angeles,Shooting,NA
Devi Singh,32,India,1964,Summer,Tokyo,Shooting,NA
Domingo Rodrguez Somoza,34,Spain,1920,Summer,Antwerpen,Shooting,NA
Emiliyan Vergov,33,Bulgaria,1976,Summer,Montreal,Shooting,NA
Emiliyan Yankov,23,Bulgaria,1980,Summer,Moskva,Shooting,NA
Erik Gustaf Blomqvist,41,Sweden,1920,Summer,Antwerpen,Shooting,NA
Ernst Emil Pedersen,40,Denmark,1976,Summer,Montreal,Shooting,NA
Eugne Auguste Antoine Duflot,38,France,1924,Summer,Paris,Shooting,NA
"Francis ""Frans"" Pace",34,Malta,1996,Summer,Atlanta,Shooting,NA
Francis William Kemp,20,Great Britain,1912,Summer,Stockholm,Shooting,NA
Gagan Narang,25,India,2008,Summer,Beijing,Shooting,NA
Gholam Hossein Mobaser,35,Iran,1964,Summer,Tokyo,Shooting,NA
