Name,Age,Team,Year,Season,City,Sport,Medal
Gilbert Kaiser,39,Liechtenstein,1988,Summer,Seoul,Shooting,NA
Giorgos Akhilleos,23,Cyprus,2004,Summer,Athina,Shooting,NA
Glenn Kable,45,Fiji,2008,Summer,Beijing,Shooting,NA
Guy Lorion Jr.,35,Canada,1988,Summer,Seoul,Shooting,NA
Hannan Crystal,22,Israel,1960,Summer,Roma,Shooting,NA
Hans Schnenberger,33,Switzerland,1960,Summer,Roma,Shooting,NA
Jozef Gnci,22,Slovakia,1996,Summer,Atlanta,Shooting,NA
Juraj Tuinsk,27,Slovakia,2012,Summer,London,Shooting,NA
Jzsef Sike,24,Hungary,1992,Summer,Barcelona,Shooting,NA
Kevin John Gill,34,Great Britain,1996,Summer,Atlanta,Shooting,NA
Klaus Henrik Lahti,39,Finland,1948,Summer,London,Shooting,NA
Lon douard Johnson,44,France,1920,Summer,Antwerpen,Shooting,NA
Lon Ernest Moreaux,54,France,1906,Summer,Athina,Shooting,Gold
Louis Vignaud,39,France,1968,Summer,Mexico City,Shooting,NA
Luis Garrido,36,Puerto Rico,1988,Summer,Seoul,Shooting,NA
Mangala Samarakoon,35,Sri Lanka,2016,Summer,Rio de Janeiro,Shooting,NA
Mehmet Dursun,44,Turkey,1972,Summer,Munich,Shooting,NA
Nguyn c Unh,25,Vietnam,1980,Summer,Moskva,Shooting,NA
Oliver Geissmann,29,Liechtenstein,2008,Summer,Beijing,Shooting,NA
Osvaldo Farrs,16,Paraguay,1984,Summer,Los Angeles,Shooting,NA
Pan Kou-Ang,24,Chinese Taipei,1964,Summer,Tokyo,Shooting,NA
Patricia Dench,52,Australia,1984,Summer,Los Angeles,Shooting,Bronze
Petr Kovk,27,Czechoslovakia,1972,Summer,Munich,Shooting,NA
Pia Carina Hansen (Larsson-),34,Sweden,2000,Summer,Sydney,Shooting,Gold
Rajmund Leszek Stachurski,33,Poland,1968,Summer,Mexico City,Shooting,NA
Ryohei Koba,29,Japan,1992,Summer,Barcelona,Shooting,NA
Sofia Miaouli,30,Cyprus,2000,Summer,Sydney,Shooting,NA
Sutiya Jiewchaloemmit,30,Thailand,2016,Summer,Rio de Janeiro,Shooting,NA
Sylvia Mary Muehlberg (Bentley-),36,Australia,1984,Summer,Los Angeles,Shooting,NA
Tieleman Cornelis Vuurman,37,Netherlands,1936,Summer,Berlin,Shooting,NA
Valerio Donnianni,28,Italy,1988,Summer,Seoul,Shooting,NA
"Virginia ""Ginny"" Thrasher",19,United States,2016,Summer,Rio de Janeiro,Shooting,NA
Walter Hamilton Ewing,30,Canada,1908,Summer,London,Shooting,Gold
Wang Nan,30,China,2008,Summer,Beijing,Shooting,NA
Willis Augustus Lee Jr.,31,United States,1920,Summer,Antwerpen,Shooting,NA
Wolfram Waibel Jr.,26,Austria,1996,Summer,Atlanta,Shooting,Bronze
"Andrew Alexander ""Andy"" Gabel",33,United States,1998,Winter,Nagano,Short Track Speed Skating,NA
Sebastian Praus,25,Germany,2006,Winter,Torino,Short Track Speed Skating,NA
Shaolin Sndor Liu,18,Hungary,2014,Winter,Sochi,Short Track Speed Skating,NA
Yui Sakai,22,Japan,2010,Winter,Vancouver,Short Track Speed Skating,NA
Tomass Dukurs,20,Latvia,2002,Winter,Salt Lake City,Skeleton,NA
Anders Johnson,24,United States,2014,Winter,Sochi,Ski Jumping,NA
Andreas Kttel,30,Switzerland,2010,Winter,Vancouver,Ski Jumping,NA
Aulis Arnold Kallakorpi (Nuutinen),27,Finland,1956,Winter,Cortina d'Ampezzo,Ski Jumping,Silver
Claude Trahan,28,Canada,1968,Winter,Grenoble,Ski Jumping,NA
Espen Odd Bredesen,30,Norway,1998,Winter,Nagano,Ski Jumping,NA
Kalle Niilo Ponteva Halonen,19,Finland,1960,Winter,Squaw Valley,Ski Jumping,Silver
Kim Hyeon-Gi,14,South Korea,1998,Winter,Nagano,Ski Jumping,NA
Sylvain Freiholz,17,Switzerland,1992,Winter,Albertville,Ski Jumping,NA
Heidi Maria Renoth (Kraja),19,Germany,1998,Winter,Nagano,Snowboarding,Silver
Izidor uteri,36,Slovenia,2014,Winter,Sochi,Snowboarding,NA
Jagna Marczuajtis (Kolasiska),27,Poland,2006,Winter,Torino,Snowboarding,NA
Simone Malus,36,Italy,2010,Winter,Vancouver,Snowboarding,NA
Jennie Lynn Finch (Daigle),23,United States,2004,Summer,Athina,Softball,Gold
Kyoko Kobayashi,24,Japan,1996,Summer,Atlanta,Softball,NA
Wei Qiang,24,China,1996,Summer,Atlanta,Softball,Silver
Aki Tonoike,22,Japan,2002,Winter,Salt Lake City,Speed Skating,NA
Aleksandr Vladimirovich Kibalko,24,Russia,1998,Winter,Nagano,Speed Skating,NA
Anastasia Winchester Bucsis,20,Canada,2010,Winter,Vancouver,Speed Skating,NA
Ann-Sofie Maria Jrnstrm,22,Sweden,1972,Winter,Sapporo,Speed Skating,NA
Choi InChol,18,North Korea,1992,Winter,Albertville,Speed Skating,NA
Christa Rothenburger-Luding,28,East Germany,1988,Winter,Calgary,Speed Skating,Silver
"Daniel Joseph ""Dan"" Carroll",26,United States,1976,Winter,Innsbruck,Speed Skating,NA
Elena Belci-Dal Farra,27,Italy,1992,Winter,Albertville,Speed Skating,NA
Jorien Johanna Maria Voorhuis,25,Netherlands,2010,Winter,Vancouver,Speed Skating,NA
Jouko Valdemar Vesterlund,24,Finland,1984,Winter,Sarajevo,Speed Skating,NA
Karl ke Seyffarth,28,Sweden,1948,Winter,Sankt Moritz,Speed Skating,Silver
"Lauri Rikhard ""Lassi"" Parkkinen",30,Finland,1948,Winter,Sankt Moritz,Speed Skating,NA
Lee Yeong-Ha,27,South Korea,1984,Winter,Sarajevo,Speed Skating,NA
Lesia Bilozub,26,Ukraine,1998,Winter,Nagano,Speed Skating,NA
Michael Staksrud,27,Norway,1936,Winter,Garmisch-Partenkirchen,Speed Skating,NA
Robert Lehmann,26,Germany,2010,Winter,Vancouver,Speed Skating,NA
Roman Sergeyevich Krech,24,Kazakhstan,2014,Winter,Sochi,Speed Skating,NA
Sergey Anatolyevich Khlebnikov,24,Soviet Union,1980,Winter,Lake Placid,Speed Skating,NA
Tomomi Okazaki (Yasutake),34,Japan,2006,Winter,Torino,Speed Skating,NA
Valentina Nikolayevna Lalenkova (Golovenkina),26,Soviet Union,1984,Winter,Sarajevo,Speed Skating,NA
Vladimr Kol,28,Czechoslovakia,1956,Winter,Cortina d'Ampezzo,Speed Skating,NA
"William Joseph N. ""Joey"" Cheek",22,United States,2002,Winter,Salt Lake City,Speed Skating,NA
Yoshiko Takano,18,Japan,1960,Winter,Squaw Valley,Speed Skating,NA
Zhang Li,17,China,1980,Winter,Lake Placid,Speed Skating,NA
Adrian D. Romero,19,Guam,1992,Summer,Barcelona,Swimming,NA
Ahmed Imthiyaz,28,Maldives,1992,Summer,Barcelona,Swimming,NA
Alberto Isaac Ahumada,25,Mexico,1948,Summer,London,Swimming,NA
Aleksandr Agafonov,21,Uzbekistan,1996,Summer,Atlanta,Swimming,NA
Alexandra Nathalie Wenk,17,Germany,2012,Summer,London,Swimming,NA
Alexianne Castel,22,France,2012,Summer,London,Swimming,NA
Amanda Jo Weir (Davis),26,United States,2012,Summer,London,Swimming,Bronze
Amber Gerganiya Beckitt (Shelley),19,Australia,1960,Summer,Roma,Swimming,NA
Andrey Kvasov,20,Kyrgyzstan,1996,Summer,Atlanta,Swimming,NA
Anna Nyri,15,Hungary,1996,Summer,Atlanta,Swimming,NA
Anna Uryniuk,18,Poland,1992,Summer,Barcelona,Swimming,NA
Anthony Lee Ervin,19,United States,2000,Summer,Sydney,Swimming,Silver
Antoni Tokaczewski,18,Poland,1952,Summer,Helsinki,Swimming,NA
Atsushi Tani,23,Japan,1956,Summer,Melbourne,Swimming,NA
Bruce Bourke,19,Australia,1948,Summer,London,Swimming,NA
Carolyn Jane Schuler,17,United States,1960,Summer,Roma,Swimming,Gold
"Catharina Johanna ""Toos"" Beumer (Krediet)",17,Netherlands,1964,Summer,Tokyo,Swimming,Bronze
Cecelia Wolstenholme (Thornton),17,Great Britain,1932,Summer,Los Angeles,Swimming,NA
Charles Wilfred Edwards,18,Great Britain,1908,Summer,London,Swimming,NA
Christian Scherbl,18,Austria,2012,Summer,London,Swimming,NA
Christophe Kalfayan,23,France,1992,Summer,Barcelona,Swimming,NA
Ciril Pelhan,26,Yugoslavia,1948,Summer,London,Swimming,NA
Claudia Mara Poll Ahrens,31,Costa Rica,2004,Summer,Athina,Swimming,NA
Colette Libourel (Conan),19,France,1960,Summer,Roma,Swimming,NA
Courtney Amanda Shealy (Hart),22,United States,2000,Summer,Sydney,Swimming,NA
Csaba Csatls,18,Hungary,1968,Summer,Mexico City,Swimming,NA
Daniel Lee,18,Sri Lanka,2008,Summer,Beijing,Swimming,NA
Daniel Smith,25,Australia,2016,Summer,Rio de Janeiro,Swimming,NA
Daniela Serpilli,16,Italy,1960,Summer,Roma,Swimming,NA
Danyon Joseph Loader,17,New Zealand,1992,Summer,Barcelona,Swimming,NA
David Ashley Fox,25,United States,1996,Summer,Atlanta,Swimming,Gold
David Pereyra,20,Bolivia,1996,Summer,Atlanta,Swimming,NA
Dawn Lorraine Fraser,27,Australia,1964,Summer,Tokyo,Swimming,NA
Drago Cristian Coman,19,Romania,2000,Summer,Sydney,Swimming,NA
Elsie Uwamahoro,23,Burundi,2012,Summer,London,Swimming,NA
Emiliano Brembilla,21,Italy,2000,Summer,Sydney,Swimming,NA
Emma Kathryne Robinson,25,Ireland,2004,Summer,Athina,Swimming,NA
Fabrizio Rampazzo,21,Italy,1984,Summer,Los Angeles,Swimming,NA
Florencia Szigeti,23,Argentina,2004,Summer,Athina,Swimming,NA
Gilbert Fernand Charles Bozon,21,France,1956,Summer,Melbourne,Swimming,NA
Glenn Andrew Mark Snyders,25,New Zealand,2012,Summer,London,Swimming,NA
Gordon Maxwell Kerr,18,Canada,1936,Summer,Berlin,Swimming,NA
Gudrun Wegner (Wnsche),17,East Germany,1972,Summer,Munich,Swimming,Bronze
Gumundur rmann Inglfsson,19,Iceland,1948,Summer,London,Swimming,NA
Hansje Bunschoten,14,Netherlands,1972,Summer,Munich,Swimming,NA
Helena Strakov,17,Czechoslovakia,1992,Summer,Barcelona,Swimming,NA
Hermann Lotter,24,Germany,1964,Summer,Tokyo,Swimming,NA
Hsu Yue-Yun,14,Chinese Taipei,1972,Summer,Munich,Swimming,NA
Indrek Sei,19,Estonia,1992,Summer,Barcelona,Swimming,NA
Irina Gerasimova,16,Soviet Union,1980,Summer,Moskva,Swimming,NA
Joanne Cara Deakins,19,Great Britain,1992,Summer,Barcelona,Swimming,NA
"John Alexander ""Sandy"" Gilchrist",18,Canada,1964,Summer,Tokyo,Swimming,NA
John Philip Thurley,16,Great Britain,1964,Summer,Tokyo,Swimming,NA
Joseph Eric Buhain,22,Philippines,1992,Summer,Barcelona,Swimming,NA
Josephine Eveline McKim (Chalmers),18,United States,1928,Summer,Amsterdam,Swimming,Gold
Juan Fortuny Vidal,22,Spain,1968,Summer,Mexico City,Swimming,NA
Juan Jos Madrigal Pacheco,22,Costa Rica,1996,Summer,Atlanta,Swimming,NA
Julian Bolling,18,Sri Lanka,1984,Summer,Los Angeles,Swimming,NA
Jzsef Szab,19,Hungary,1988,Summer,Seoul,Swimming,NA
Kaio Mrcio Ferreira Costa de Almeida,19,Brazil,2004,Summer,Athina,Swimming,NA
Katsuo Takaishi,21,Japan,1928,Summer,Amsterdam,Swimming,Bronze
Kenji Ishikawa,18,Japan,1964,Summer,Tokyo,Swimming,NA
Kirsten Strange-Campbell,24,Denmark,1968,Summer,Mexico City,Swimming,NA
Lennart Bastiaan Stekelenburg,25,Netherlands,2012,Summer,London,Swimming,NA
Leonard Ngoma,21,Zambia,2000,Summer,Sydney,Swimming,NA
Linda June MacKenzie (Single),24,Australia,2008,Summer,Beijing,Swimming,NA
Lisa Gaye Curry-Kenny,18,Australia,1980,Summer,Moskva,Swimming,NA
Masami Tanaka,21,Japan,2000,Summer,Sydney,Swimming,Bronze
Massimiliano Edgar Rosolino,22,Italy,2000,Summer,Sydney,Swimming,Bronze
Mattia Nalesso,27,Italy,2008,Summer,Beijing,Swimming,NA
Naomi Ruele,19,Botswana,2016,Summer,Rio de Janeiro,Swimming,NA
Nataa Mekovska,20,Individual Olympic Athletes,1992,Summer,Barcelona,Swimming,NA
Neil John Harper,23,Great Britain,1988,Summer,Seoul,Swimming,NA
"Nicholas Stephen ""Nick"" Hodgson",23,Great Britain,1988,Summer,Seoul,Swimming,NA
Nicole Melanie Zahnd (Platel),23,Switzerland,2004,Summer,Athina,Swimming,NA
Pang Jiaying,23,China,2008,Summer,Beijing,Swimming,Bronze
Paolo Bossini,23,Italy,2008,Summer,Beijing,Swimming,NA
Petr Adamec,20,Czechoslovakia,1980,Summer,Moskva,Swimming,NA
Pter Horvth,21,Hungary,1996,Summer,Atlanta,Swimming,NA
Qian Hong,21,China,1992,Summer,Barcelona,Swimming,NA
Ren cuyer,23,France,1980,Summer,Moskva,Swimming,NA
Robert David Garrick Agnew,17,Australia,1948,Summer,London,Swimming,NA
"Robert John ""Bob"" Wheaton",18,Canada,1960,Summer,Roma,Swimming,NA
"Robert Scott ""Bob"" Jackson",19,United States,1976,Summer,Montreal,Swimming,NA
"Robert Steven ""Steve"" Genter",21,United States,1972,Summer,Munich,Swimming,Silver
Rodrigo Gonzlez Sesma,20,Mexico,1988,Summer,Seoul,Swimming,NA
"Ronald John ""Ron"" McKeon",19,Australia,1980,Summer,Moskva,Swimming,NA
Ryk Neethling,22,South Africa,2000,Summer,Sydney,Swimming,NA
Sadako Yamashita,19,Japan,1952,Summer,Helsinki,Swimming,NA
Sarah Frederica Sjstrm,22,Sweden,2016,Summer,Rio de Janeiro,Swimming,Silver
Satoru Nakano,17,Japan,1964,Summer,Tokyo,Swimming,NA
Sergey Viktorovich Koplyakov,21,Soviet Union,1980,Summer,Moskva,Swimming,Gold
Sergio Lpez Mir,20,Spain,1988,Summer,Seoul,Swimming,Bronze
Sndor Nagy,19,Hungary,1980,Summer,Moskva,Swimming,NA
Stphan Malcolm Caron,22,France,1988,Summer,Seoul,Swimming,NA
"Susannah Claire ""Suki"" Brownsdon",18,Great Britain,1984,Summer,Los Angeles,Swimming,NA
Tamara Oynick,15,Mexico,1968,Summer,Mexico City,Swimming,NA
Tammie Jean Kaae (Filiault),16,Guam,1992,Summer,Barcelona,Swimming,NA
"Thomas ""Tom"" Stachewicz",26,Australia,1992,Summer,Barcelona,Swimming,NA
"Thomas Michael ""Tom"" Jager",23,United States,1988,Summer,Seoul,Swimming,Silver
va Miklsfalvy,20,Hungary,1980,Summer,Moskva,Swimming,NA
Walter Peter Handschuhmacher,24,Germany,1928,Summer,Amsterdam,Swimming,NA
"William Tripp ""Bill"" Woolsey",17,United States,1952,Summer,Helsinki,Swimming,NA
Yegor Andreyevich Degtyaryov,20,Russia,2012,Summer,London,Swimming,NA
Yelena Yuryevna Volkova,24,Unified Team,1992,Summer,Barcelona,Swimming,NA
Zilpha Grant (Wheelton),17,Great Britain,1936,Summer,Berlin,Swimming,NA
Alice Dominici,25,Italy,2000,Summer,Sydney,Synchronized Swimming,NA
Hou Yingli,22,China,2000,Summer,Sydney,Synchronized Swimming,NA
Huang Xuechen,22,China,2012,Summer,London,Synchronized Swimming,Bronze
Semon Elke Rohloff (Spence),22,Australia,1992,Summer,Barcelona,Synchronized Swimming,NA
Csilla Btorfi,31,Hungary,2000,Summer,Sydney,Table Tennis,NA
Gustavo Tsuboi,31,Brazil,2016,Summer,Rio de Janeiro,Table Tennis,NA
Heba Allejji,19,Syria,2016,Summer,Rio de Janeiro,Table Tennis,NA
Jeoung Young-Sik,24,South Korea,2016,Summer,Rio de Janeiro,Table Tennis,NA
Li Jia Wei,19,Singapore,2000,Summer,Sydney,Table Tennis,NA
Oksana Vladimirovna Kushch-Fadeyeva,25,Russia,2000,Summer,Sydney,Table Tennis,NA
Suraju Saka,40,Congo (Brazzaville),2016,Summer,Rio de Janeiro,Table Tennis,NA
Tu Jong-Sil,17,North Korea,1996,Summer,Atlanta,Table Tennis,NA
"Zhen ""Eugene"" Wang",26,Canada,2012,Summer,London,Table Tennis,NA
Jon Garca Aguado,30,Spain,2008,Summer,Beijing,Taekwondo,NA
Kristopher Moitland Cabezas,20,Costa Rica,2004,Summer,Athina,Taekwondo,NA
Thomas Anders Marcus Thorn (Murray),29,Sweden,2000,Summer,Sydney,Taekwondo,NA
Yevgeniya Karimova,19,Uzbekistan,2008,Summer,Beijing,Taekwondo,NA
Carl Gunnar Emanuel Setterwall,30,Sweden,1912,Summer,Stockholm,Tennis,NA
"Ctislav ""Slava"" Dosedl",30,Czech Republic,2000,Summer,Sydney,Tennis,NA
Ctlina Cristea,21,Romania,1996,Summer,Atlanta,Tennis,NA
Gilles Simon,23,France-1,2008,Summer,Beijing,Tennis,NA
Horst Skoff,23,Austria,1992,Summer,Barcelona,Tennis,NA
Hugh McKittrick Jones,23,United States,1904,Summer,St. Louis,Tennis,NA
"James ""Jim"" Giraud",23,France,1906,Summer,Athina,Tennis,NA
Lindsay Ann Davenport,20,United States,1996,Summer,Atlanta,Tennis,Gold
Manuela Georgieva Maleeva-Fragnire,21,Bulgaria,1988,Summer,Seoul,Tennis,Bronze
Rogrio Dutra Silva,32,Brazil,2016,Summer,Rio de Janeiro,Tennis,NA
Vctor Caballero,28,Paraguay,1988,Summer,Seoul,Tennis,NA
Wynne Prakusya,23,Indonesia,2004,Summer,Athina,Tennis,NA
Ben Wilden,23,Australia,2008,Summer,Beijing,Trampolining,NA
Ji Glenn Wallace,23,Australia,2000,Summer,Sydney,Trampolining,Silver
Annamaria Mazzetti,23,Italy,2012,Summer,London,Triathlon,NA
Irving Adrin Prez Pineda,30,Mexico,2016,Summer,Rio de Janeiro,Triathlon,NA
Rina Hill (Bradshaw),35,Australia,2004,Summer,Athina,Triathlon,NA
Volodymyr Volodymyrovych Polikarpenko,32,Ukraine,2004,Summer,Athina,Triathlon,NA
Abderrazak Ben Massaoud,26,Tunisia,1988,Summer,Seoul,Volleyball,NA
Alberto Cisolla,26,Italy,2004,Summer,Athina,Volleyball,Silver
Aleksandr Anatolyevich Butko,26,Russia,2012,Summer,London,Volleyball,Gold
Aleksandr Sergeyevich Sokolov,30,Russia,2012,Summer,London,Volleyball,Gold
Christopher Robert Frehlick,30,Canada,1992,Summer,Barcelona,Volleyball,NA
Fabian Drzyzga,26,Poland,2016,Summer,Rio de Janeiro,Volleyball,NA
"Jacob Alapaki ""Jake"" Highland",32,United States,1964,Summer,Tokyo,Volleyball,NA
Jelena Nikoli,26,Serbia,2008,Summer,Beijing,Volleyball,NA
Jiang Fudong,25,China,2008,Summer,Beijing,Volleyball,NA
Jos Maria Schwartz da Costa,23,Brazil,1964,Summer,Tokyo,Volleyball,NA
Juan Carlos Cuminetti,21,Argentina,1988,Summer,Seoul,Volleyball,Bronze
Lai Yawen,25,China,1996,Summer,Atlanta,Volleyball,Silver
Tatyana Sergeyevna Kosheleva,27,Russia,2016,Summer,Rio de Janeiro,Volleyball,NA
Toyoko Iwahara,23,Japan,1968,Summer,Mexico City,Volleyball,Silver
Yuzuru Inoue,25,Japan,1988,Summer,Seoul,Volleyball,NA
Alberto Marco Giovanni Ghibellini,23,Italy,1996,Summer,Atlanta,Water Polo,Bronze
Aleksey Ivanovich Panfili,38,Kazakhstan,2012,Summer,London,Water Polo,NA
Andr Ren Robert Laurent,21,Belgium,1952,Summer,Helsinki,Water Polo,NA
Frano Vian,36,Croatia,2012,Summer,London,Water Polo,Gold
Hazel Emma Musgrove,23,Great Britain,2012,Summer,London,Water Polo,NA
Heinz Mder,27,Germany,1964,Summer,Tokyo,Water Polo,NA
Lszl Jeney,37,Hungary,1960,Summer,Roma,Water Polo,Bronze
Luka Buki,22,Croatia,2016,Summer,Rio de Janeiro,Water Polo,Silver
"Madeline ""Maddie"" Musselman",18,United States,2016,Summer,Rio de Janeiro,Water Polo,Gold
Mximo Couto,28,Portugal,1952,Summer,Helsinki,Water Polo,NA
ore Perii,31,Yugoslavia,1972,Summer,Munich,Water Polo,NA
Peter Guy Montgomery,22,Australia,1972,Summer,Munich,Water Polo,NA
Pontus Hanson,35,Sweden,1920,Summer,Antwerpen,Water Polo,Bronze
Pter Biros,28,Hungary,2004,Summer,Athina,Water Polo,Gold
Salah El-Din Mohammed El-Sahrawi,26,Egypt,1952,Summer,Helsinki,Water Polo,NA
Samir Bara,26,Croatia,2000,Summer,Sydney,Water Polo,NA
Simon Carl Asher,21,Australia,1988,Summer,Seoul,Water Polo,NA
Solon dos Santos,23,Brazil,1984,Summer,Los Angeles,Water Polo,NA
Vladimir Nikolayevich Karabutov,25,Unified Team,1992,Summer,Barcelona,Water Polo,Bronze
Yelena Yuryevna Smurova,26,Russia,2000,Summer,Sydney,Water Polo,Bronze
Yvette Higgins,22,Australia,2000,Summer,Sydney,Water Polo,Gold
Alesana Sione,34,American Samoa,2000,Summer,Sydney,Weightlifting,NA
Alexi Batista,24,Panama,2000,Summer,Sydney,Weightlifting,NA
Arkady Nikitich Vorobyov,35,Soviet Union,1960,Summer,Roma,Weightlifting,Gold
Gennady Timofeyevich Chetin,25,Soviet Union,1968,Summer,Mexico City,Weightlifting,NA
Geralee Vega Morales,22,Puerto Rico,2008,Summer,Beijing,Weightlifting,NA
Gurunathan Muthuswamy,25,India,1988,Summer,Seoul,Weightlifting,NA
Henri Mersch,30,Luxembourg,1960,Summer,Roma,Weightlifting,NA
Hiroaki Takao,24,Japan,2016,Summer,Rio de Janeiro,Weightlifting,NA
Hiroshi Yamazaki,23,Japan,1960,Summer,Roma,Weightlifting,NA
James Kingsley Johnson van Rensburg,28,South Africa,1952,Summer,Helsinki,Weightlifting,NA
"Kenneth ""Ken"" Clark",28,United States,1984,Summer,Los Angeles,Weightlifting,NA
Le Maosheng,26,China,2004,Summer,Athina,Weightlifting,Silver
Lely Berlitt Burgos Ortz,31,Puerto Rico,2016,Summer,Rio de Janeiro,Weightlifting,NA
Leonid Ivanovych Zhabotynskiy,30,Soviet Union,1968,Summer,Mexico City,Weightlifting,Gold
Lin Weining,21,China,2000,Summer,Sydney,Weightlifting,Gold
Mahmoud Rashid,21,Iraq,1964,Summer,Tokyo,Weightlifting,NA
Marcel Paterni,23,France,1960,Summer,Roma,Weightlifting,NA
Mariusz Jdra,27,Poland,2000,Summer,Sydney,Weightlifting,NA
Olivia Eileen Baker,21,New Zealand,2000,Summer,Sydney,Weightlifting,NA
Ri Song-Hui,21,North Korea,2000,Summer,Sydney,Weightlifting,Silver
Rogelio Weatherbee,25,Mexico,1980,Summer,Moskva,Weightlifting,NA
scar Albeyro Figueroa Mosquera,29,Colombia,2012,Summer,London,Weightlifting,Silver
Sohrab Moradi,23,Iran,2012,Summer,London,Weightlifting,NA
Vitaly Vyacheslavovich Derbenyov,32,Belarus,2008,Summer,Beijing,Weightlifting,NA
Vtzslav Orszgh,24,Czechoslovakia,1968,Summer,Mexico City,Weightlifting,NA
Yu In-Ho,27,South Korea,1956,Summer,Melbourne,Weightlifting,NA
Zhou Peishun,22,China,1984,Summer,Los Angeles,Weightlifting,Silver
Alfredo Lpez Ruiz,24,Mexico,1972,Summer,Munich,Wrestling,NA
Andrey Pavlovich Chekhovskoy,25,Belarus,2004,Summer,Athina,Wrestling,NA
Antonino Caltabiano,29,Italy,1984,Summer,Los Angeles,Wrestling,NA
Arsen Kadyrbayevich Eraliyev,26,Kyrgyzstan,2016,Summer,Rio de Janeiro,Wrestling,NA
Bayu Baev,31,Bulgaria,1972,Summer,Munich,Wrestling,NA
Dariusz Edward Grzywiski,23,Poland,1992,Summer,Barcelona,Wrestling,NA
David Tengizovich Saldadze,26,Ukraine,2004,Summer,Athina,Wrestling,NA
Emil Ernst Vre (Viln),26,Finland,1912,Summer,Stockholm,Wrestling,Gold
Ern Mrkus,22,Hungary,1912,Summer,Stockholm,Wrestling,NA
Ion Pun,25,Romania,1976,Summer,Montreal,Wrestling,NA
Jarlis Ariel Mosquera Mosquera,24,Colombia,2008,Summer,Beijing,Wrestling,NA
Jurij Kohl,29,Germany,2004,Summer,Athina,Wrestling,NA
Kaori Icho,28,Japan,2012,Summer,London,Wrestling,Gold
Kim Hyeon-Wu,27,South Korea,2016,Summer,Rio de Janeiro,Wrestling,Bronze
Laszlo Kovacs,29,Australia,2000,Summer,Sydney,Wrestling,NA
li sayev,24,Azerbaijan,2008,Summer,Beijing,Wrestling,NA
Makoto Saito,21,Japan,1972,Summer,Munich,Wrestling,NA
Mikhail Vladimirovich Semyonov,24,Belarus,2008,Summer,Beijing,Wrestling,Bronze
Miroslav Luberda,24,Czechoslovakia,1988,Summer,Seoul,Wrestling,NA
"Moustapha ""Tapha"" Guye",26,Senegal,1988,Summer,Seoul,Wrestling,NA
Nasuh Akar,23,Turkey,1948,Summer,London,Wrestling,Gold
Noel O. Loban,31,Great Britain,1988,Summer,Seoul,Wrestling,NA
nver Beergil,26,Turkey,1964,Summer,Tokyo,Wrestling,NA
Roger Mannhard,28,France,1960,Summer,Roma,Wrestling,NA
Ronald Joseph,17,United States Virgin Islands,1976,Summer,Montreal,Wrestling,NA
Sayed Hafez Shehata,21,Egypt,1948,Summer,London,Wrestling,NA
Takamitsu Katayama,24,Japan,1996,Summer,Atlanta,Wrestling,NA
Tauno Antero Jaskari,18,Finland,1952,Summer,Helsinki,Wrestling,NA
Vladimer Khinchegashvili,21,Georgia,2012,Summer,London,Wrestling,Silver
"William Dean ""Bill"" Borders",22,United States,1952,Summer,Helsinki,Wrestling,NA
Yandro Miguel Quintana Rivalta,28,Cuba,2008,Summer,Beijing,Wrestling,NA